Vial,Treatment,Rep,AgeBin,CourtshipLatency,CopulationLatency,CopulationDuration,Copulation,Date,Temperature,Humidity,StartTime,Bin2,Bin3,Bin4,FinishSetUp,EndTime
38,LTP,2,4,9:48,9:49,10:11,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
39,LTP,3,4,,9:47,10:10,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
40,LTP,4,4,9:47,9:51,10:17,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
41,LTS,1,4,10:27,10:28,10:54,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
42,LTS,2,4,9:47,9:55,10:17,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
43,LTS,3,4,9:59,10:01,10:27,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
44,LTS,4,4,9:45,10:33,10:54,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
45,LTC,1,4,9:51,10:03,10:28,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
46,LTC,2,4,,,,0,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
47,LTC,3,4,9:58,10:01,10:26,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
48,LTC,4,4,9:49,9:54,10:17,1,7/29/14,23,49,9:18,9:23,9:30,9:37,9:46,11:18
1,LTP,1,1,9:51,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
2,LTP,2,1,9:29,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
3,LTP,3,1,9:27,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
4,LTP,4,1,10:41,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
5,LTS,1,1,10:26,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
6,LTS,2,1,9:30,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
7,LTS,3,1,10:30,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
8,LTS,4,1,,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
9,LTC,1,1,,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
10,LTC,2,1,10:20,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
11,LTC,3,1,9:42,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
12,LTC,4,1,10:54,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
13,LTP,1,2,9:38,10:07,10:30,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
14,LTP,2,2,9:37,9:56,10:21,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
15,LTP,3,2,11:22,11:24,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
16,LTP,4,2,10:05,10:10,10:32,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
17,LTS,1,2,9:36,9:42,10:05,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
18,LTS,2,2,10:09,10:09,10:34,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
19,LTS,3,2,9:40,11:03,11:22,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
20,LTS,4,2,10:02,10:03,10:23,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
21,LTC,1,2,10:51,10:52,11:16,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
22,LTC,2,2,9:33,10:05,10:27,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
23,LTC,3,2,9:34,9:59,10:23,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
24,LTC,4,2,9:35,10:14,10:47,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
25,LTP,1,3,9:53,10:01,10:22,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
26,LTP,2,3,9:40,10:30,10:56,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
27,LTP,3,3,10:02,10:41,10:59,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
28,LTP,4,3,9:39,10:00,10:21,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
29,LTS,1,3,10:28,10:29,10:55,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
30,LTS,2,3,10:54,10:55,11:30,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
31,LTS,3,3,9:47,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
32,LTS,4,3,,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
33,LTC,1,3,9:43,10:19,10:47,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
34,LTC,2,3,,9:53,10:19,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
35,LTC,3,3,,,,0,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
36,LTC,4,3,9:43,9:50,10:15,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
37,LTP,1,4,10:46,10:47,11:23,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
38,LTP,2,4,9:45,10:41,11:14,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
39,LTP,3,4,9:59,10:06,10:32,1,7/28/14,22,65,9:21,9:26,9:32,9:38,9:46,11:30
